author	paragraphs	rhythmic	polarity analysis	polarity score
寇准	更尽一杯酒，歌一阕	阳关引	positive	0.5593948614093134
潘阆	遥奠酒盈卮	酒泉子	positive	0.6645074041378056
范仲淹	酒入愁肠，化作相思泪	苏幕遮	positive	0.9696150330639349
范仲淹	浊酒一杯家万里	渔家傲	positive	0.5572007949509268
范仲淹	酒未到、先成泪	御街行	negative	0.28628967878907596
沈邈	酒未到、愁肠还醒	剔银灯	negative	0.29430684806648433
沈邈	那堪更、酒醒孤棹	剔银灯	positive	0.9542703968174546
柳永	中酒残妆慵整顿	甘草子	negative	0.1956519142229829
柳永	无限狂心乘酒兴	昼夜乐	positive	0.9577971953105345
柳永	帝城当日，兰堂夜烛，百万呼卢，画阁春风，十千沽酒	笛家弄・笛家	positive	0.9486892997790972
柳永	渐消尽、醺醺残酒	倾杯乐	positive	0.9936451409147393
柳永	酒力全轻，醉魂易醒，风揭帘栊，梦断披衣重起	梦还京	negative	0.20904689863268822
柳永	画堂歌管深深处，难忘酒盏花枝	看花回	positive	0.8820750678827934
柳永	笑筵歌席连昏昼，任旗亭、斗酒十千	看花回	positive	0.6741152373607342
柳永	忆当时、酒恋花迷，役损词客	两同心	negative	0.12649098328479047
柳永	保生酒劝椒香腻	玉楼春	negative	0.3807894414145869
柳永	归心怡悦酒肠宽，不泛千锺应不醉	玉楼春	negative	0.1614664209697554
柳永	今宵酒醒何处，杨柳岸、晓风残月	雨霖铃	positive	0.9517276541511214
柳永	归来中夜酒醺醺，惹起旧愁无限	御街行	positive	0.9996565832393737
柳永	倒尽金壶碧酒	巫山一段云	negative	0.3832542406473146
柳永	对酒当歌，强乐还无味	凤栖梧・蝶恋花	positive	0.5943721610986418
柳永	酒力渐浓春思荡	凤栖梧・蝶恋花	positive	0.7413091848217055
柳永	那堪酒醒，又闻空阶，夜雨频滴	浪淘沙	positive	0.8502536342633303
柳永	继日恁、把酒听歌，量金买笑	古倾杯・倾杯乐	positive	0.6824841431657933
柳永	长是因酒沈迷，被花萦绊	凤归云	positive	0.9137061918538374
柳永	任他美酒，十千一斗，饮竭仍解金貂贳	抛球乐	positive	0.9891804138642307
柳永	共君把酒听杜宇	思归乐	positive	0.9529694949349685
柳永	把酒与君说	应天长	positive	0.8181492888191877
柳永	狎兴生疏，酒徒萧索，不似去年时	少年游	negative	0.4292950850178079
柳永	酒容红嫩，歌喉清丽，百媚坐中生	少年游	positive	0.9579788321056327
柳永	香帏睡起，发妆酒酽，红脸杏花春	少年游	negative	0.2678618693701418
柳永	况有狂朋怪侣，遇当歌、对酒竞留连	戚氏	negative	0.028221674927855656
柳永	望中酒旆闪闪，一簇烟村，数行霜树	夜半乐	positive	0.9859342065198767
柳永	被连绵宿酒醺醺，愁无那	祭天神	positive	0.9958649130376366
柳永	酒醒	过涧歇近・过涧歇	negative	0.5
柳永	持杯谢、酒朋诗侣	归去来	positive	0.6466920089375022
柳永	帝里疏散，数载酒萦花系，九陌狂游	如鱼水	positive	0.9710372060598116
柳永	文期酒会，几孤风月，屡变星霜	玉蝴蝶	positive	0.9576834357923958
柳永	西风吹帽，东篱携酒，共结欢游	玉蝴蝶	negative	0.27660821774746536
柳永	残梦断、酒醒孤馆，夜长无味	满江红	positive	0.5211899894773248
柳永	芳树外，闪闪酒旗遥举	洞仙歌	positive	0.9823758505524675
柳永	满长安，高却旗亭酒价	望远行	positive	0.9499582371658167
柳永	论槛买花，盈车载酒，百琲千金邀妓	剔银灯	negative	0.24249995391642187
柳永	扬州曾是追游地，酒台花径仍存	临江仙	negative	0.40553946630565696
柳永	玉人歌，画楼酒，对此景、骤增高价	甘州令	negative	0.4794803624545383
柳永	道宦途踪迹，歌酒情怀，不似当年	透碧霄	positive	0.9504495505619873
柳永	念对酒当歌，低帏并枕，翻恁轻孤	木兰花慢	positive	0.9392718853332845
柳永	赢得兰堂酝酒，画船携妓欢游	木兰花慢	positive	0.5069496933744433
柳永	寿阳妆罢无端饮，凌晨酒入香腮	瑞鹧鸪	positive	0.9758176376716621
柳永	当无绪、人静酒初醒，天外征鸿，知送谁家归信，穿云悲叫	倾杯・倾杯乐	positive	0.9059743798643561
柳永	假饶花落未消愁，煮酒杯盘催结子	木兰花・玉楼春	negative	0.09141617321135531
柳永	雨意云情，酒心花态，孤负高阳客	倾杯乐	positive	0.9084049713764747
柳永	何期到此，酒态花情顿孤负	祭天神	positive	0.5173993174391448
柳永	殢尊酒、转添愁绪	归去来	negative	0.421874597530976
柳永	不堪尊酒频倾	清平乐	positive	0.5791102492860968
柳永	烛暗时酒醒，元来又是梦里	十二时・忆少年	positive	0.7409338877426708
张先	酒前频共伊	菩萨蛮	positive	0.5486976325915089
张先	清歌逐酒	清平乐	positive	0.7896555179566234
张先	秀脸拂新红，酒入娇眉眼，薄衣减春寒	恨春迟	positive	0.9839458444349247
张先	对酒高歌玉壶阙	庆佳节	positive	0.6463778524296887
张先	卷帘还喜月相亲，把酒更、花相近	玉联环・解连环	positive	0.8811166511332368
张先	酒迷花困共厌厌，倚朱弦、未成归弄	夜厌厌・夜行船	negative	0.40303445072480515
张先	劝人深酒杯	更漏子	positive	0.6429335818357281
张先	薄霞衣，酣酒面	更漏子	negative	0.41012332840586196
张先	醉后和衣倒，愁来殢酒醺	南歌子	positive	0.9762475414375145
张先	何况酒醒梦断，花谢月朦胧	诉衷情	negative	0.29752310073680976
张先	持酒唱歌留晚发	木兰花・玉楼春	negative	0.08958715769495973
张先	露英千样，粉香无尽，蓦地酒初醒	少年游	positive	0.9218618498671868
张先	酒熟梨花宾客醉，但觉满山潇鼓	破阵乐	negative	0.3011517802502548
张先	水调数声持酒听	天仙子	negative	0.07252919809094294
张先	酒入四肢波入鬓，娇不尽，翠眉低	江城子	negative	0.24439314435105985
张先	使君欲醉离亭酒。酒醒离愁转有	转声虞美人・桃源忆故人	positive	0.9938433049071365
张先	听歌持酒且休行	少年游	positive	0.5323426603952776
张先	酒眼茸茸香拂面	定风波令・定风波	negative	0.4458620733740407
张先	彩花千数酒泉清	定风波令・定风波	positive	0.9762380437847906
张先	插花劝酒盐桥馆	木兰花・玉楼春	negative	0.09597509551018624
张先	花影滟金尊，酒泉生浪	庆春泽	positive	0.932668230907328
张先	宝钗沽酒	玉树后庭花・后庭花	positive	0.7751847419930096
张先	酒面滟金鱼	醉垂鞭	positive	0.7085923308003611
张先	醺醺酒，拂拂上双腮	望江南・忆江南	positive	0.9995673479905051
张先	酒脸红霞发	少年游慢	negative	0.10157393383075586
张先	酒上妆面，花艳媚相并	翦牡丹	positive	0.8637423698788554
张先	酒香醺脸，粉色生春	行香子	positive	0.9703423481498626
张先	持酒更听，红儿肉声长调	熙州慢	negative	0.09026759589032662
张先	人面新生酒艳，日痕更欲春长	河满子	positive	0.9578798618108245
张先	何人暗得金船酒	劝金船	positive	0.5429919259829965
张先	春睡起，纤条在手，厌厌宿酒残妆	汉宫春	positive	0.8215319171323553
张先	庭轩寂寞近清明，残花中酒，又是去年病	青门引・青门饮	positive	0.8495138655857586
张先	停酒说扬州，平山月、应照棋观	塞垣春	positive	0.573910684721435
张先	小艇载人来，约尊酒、商量歧路	山亭宴	negative	0.03850260963593222
晏殊	曾与玉人临小槛，共折香英泛酒卮	破阵子	positive	0.8071534854207544
晏殊	美酒一杯新熟，高歌数阕堪听	破阵子	positive	0.9352696155003352
晏殊	月好谩成孤枕梦，酒阑空得两眉愁	浣溪沙	positive	0.688736358790287
晏殊	有情须殢酒杯深	浣溪沙	positive	0.5745528764424466
晏殊	青杏园林著酒香	浣溪沙	positive	0.8531750538051006
晏殊	一曲新词酒一杯	浣溪沙	positive	0.542251853667352
晏殊	渔父酒醒重拨棹，鸳鸯飞去却回头	浣溪沙	positive	0.7682072053733744
